Category Title,Category URL,Subcategory Title,Subcategory URL,View More Exists,View More URL,Article Count
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,Timer,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31429,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31429,6
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,USB,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31446,False,,4
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,AI Kit with RA Family,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32593,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/32593,11
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,Voice Kit with RA Family,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31615,True,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31615,17
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,"Watchdog Timer (WDT, IWDT)",https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31422,False,,3
RA Family,https://en-support.renesas.com/knowledgeBase/category/31087,Renesas Ready Partner Network,https://en-support.renesas.com/knowledgeBase/category/31087/subcategory/31698,False,,5
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/A,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31244,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31244,43
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/G,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31245,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31245,70
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/N2L,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31657,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31657,6
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/T1,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31246,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31246,58
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,"RZ/T2H, RZ/N2H",https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/33192,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/33192,10
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/T2L,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31738,False,,5
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/T2M,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31597,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31597,8
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/V,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31562,True,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31562,43
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,RZ/Five-RISC-V,https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/31660,False,,0
RZ Family,https://en-support.renesas.com/knowledgeBase/category/31243,"RZ/T2, RZ/N2 FSP",https://en-support.renesas.com/knowledgeBase/category/31243/subcategory/33559,False,,5
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G24,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/32090,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/32090,8
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G23,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31369,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31369,11
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G22,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31718,False,,3
